Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
July 31 2021,Camden,NJ,Passenger,0,1,1,11,12,8.33
July 31 2021,Hudson,NJ,Passenger,1,0,1,116,117,0.85
July 31 2021,Chaves,NM,Passenger,1,0,1,6,7,14.29
July 31 2021,Carson City,NV,Passenger,1,0,1,11,12,8.33
July 31 2021,Clark,NV,Passenger,4,3,7,565,572,1.22
July 31 2021,Washoe,NV,Passenger,1,0,1,68,69,1.45
July 31 2021,Erie,NY,Passenger,1,0,1,31,32,3.12
July 31 2021,Jefferson,NY,Passenger,0,1,1,210,211,0.47
July 31 2021,Kings,NY,Passenger,1,0,1,56,57,1.75
July 31 2021,Nassau,NY,Passenger,1,0,1,24,25,4.00
July 31 2021,New York,NY,Passenger,1,0,1,46,47,2.13
July 31 2021,Queens,NY,Passenger,2,0,2,44,46,4.35
July 31 2021,Saratoga,NY,Passenger,1,0,1,39,40,2.50
July 31 2021,Montgomery,OH,Passenger,0,1,1,47,48,2.08
July 31 2021,Shelby,OH,Passenger,0,1,1,1,2,50.00
July 31 2021,Rogers,OK,Passenger,1,0,1,3,4,25.00
July 31 2021,Clackamas,OR,Passenger,2,0,2,153,155,1.29
July 31 2021,Klamath,OR,Passenger,1,0,1,20,21,4.76
July 31 2021,Multnomah,OR,Passenger,2,6,8,577,585,1.37
